#qualification			
No	Code	Sort	TUD資格名
1	178	1	普通自動車免許（第一種）
4	109	2	日商簿記検定(1級、2級)
5	111	3	MBA
6	113	4	ファイナンシャルプランナー（AFP）
8	117	5	中小企業診断士
12	125	6	不動産鑑定士
13	127	7	インテリアコーディネーター
14	129	8	薬剤師
17	134	9	栄養士
26	160	10	社会福祉士
27	162	11	介護支援専門員（ケアマネージャー）
28	164	12	保育士
29	104	13	公認会計士
32	110	14	日商簿記検定(3級、4級)
34	114	15	ファイナンシャルプランナー（CFP）
35	116	16	社会保険労務士
39	124	17	宅地建物取引士
44	133	18	秘書技能検定
45	135	19	食品衛生管理者
50	153	20	インテリアプランナー
53	159	21	調理師
54	161	22	介護福祉士
55	163	23	ホームヘルパー(1級、2級)
57	182	24	AWS 認定ソリューションアーキテクト
59	26	25	CCNA
64	167	26	ITパスポート
71	168	27	応用情報技術者
72	70	28	基本情報技術者
74	66	29	データベーススペシャリスト
78	27	30	CCNP
86	14	31	MOS
92	172	32	情報セキュリティスペシャリスト
93	61	33	ネットワークスペシャリスト
95	83	34	CAD利用技術者
97	89	35	電気主任技術者
98	91	36	電気通信主任技術者
99	176	40	管工事施工管理技士
103	99	37	1級建築士
104	101	39	建築施工管理技士
110	84	42	その他CAD系資格
118	100	38	2級建築士
119	102	41	土木施工管理技士
